date,take
2025-03-04,0
2025-03-05,0
2025-03-06,0
2025-03-07,0
2025-03-08,0
2025-03-09,0
2025-03-10,0
2025-03-11,1
2025-03-12,0
2025-03-13,1
2025-03-14,0
2025-03-15,0
2025-03-16,4
2025-03-17,3
2025-03-18,0
2025-03-19,0
2025-03-20,0
2025-03-21,0
2025-03-22,3
2025-03-23,0
2025-03-24,0
2025-03-25,0
2025-03-26,0
2025-03-27,1
2025-03-28,0
2025-03-29,1
2025-03-30,0
2024-03-21,0
2024-03-22,0
2024-03-23,0
2024-03-24,5
2024-03-25,0
2024-03-26,0
2024-03-27,0
2024-03-28,0
2024-03-29,0
2024-03-30,0
2022-11-20,0
2022-11-21,0
2022-11-22,2
2022-11-23,0
2022-11-24,0
2022-11-25,0
2022-11-26,0
2022-11-27,0
2022-11-28,0
2022-11-29,0
2022-11-30,0
2022-12-01,0
2022-12-02,0
2022-12-03,0
2022-12-04,0
2022-12-05,0
2022-12-06,0
2022-12-07,0
2022-12-08,1
2022-12-09,0
2022-12-10,0
2022-12-11,0
2022-12-12,0
2022-12-13,12
2022-12-14,10
2022-12-15,0
2022-12-16,25
2022-12-17,19
2022-12-18,8
2022-12-19,12
2022-12-20,10
2022-12-21,0
2022-12-22,0
2022-12-23,0
2022-12-24,0
2022-12-25,0
2022-12-26,1
2022-12-27,0
2022-12-28,0
2022-12-29,0
2022-12-30,0
2022-12-31,0
2023-01-01,0
2023-01-02,0
2023-01-03,1
2023-01-04,0
2023-01-05,5
2023-01-06,9
2023-01-07,5
2023-01-08,6
2023-01-09,0
2023-01-10,18
2023-01-11,23
2023-01-12,24
2023-01-13,57
2023-01-14,12
2023-01-15,16
2023-01-16,3
2023-01-17,20
2023-01-18,0
2023-01-19,9
2023-01-20,33
2023-01-21,22
2023-01-22,6
2023-01-23,15
2023-01-24,10
2023-01-25,10
2023-01-26,6
2023-01-27,26
2023-01-28,0
2023-01-29,12
2023-01-30,6
2023-01-31,14
2023-02-01,9
2023-02-02,14
2023-02-03,11
2023-02-04,14
2023-02-05,5
2023-02-06,3
2023-02-07,6
2023-02-08,23
2023-02-09,14
2023-02-10,16
2023-02-11,3
2023-02-12,8
2023-02-13,12
2023-02-14,7
2023-02-15,7
2023-02-16,14
2023-02-17,44
2023-02-18,27
2023-02-19,29
2023-02-20,32
2023-02-21,11
2023-02-22,14
2023-02-23,26
2023-02-24,18
2023-02-25,13
2023-02-26,15
2023-02-27,5
2023-02-28,2
2023-03-01,4
2023-03-02,5
2023-03-03,16
2023-03-04,8
2023-03-05,5
2023-03-06,2
2023-03-07,4
2023-03-08,6
2023-03-09,16
2023-03-10,27
2023-03-11,24
2023-03-12,13
2023-03-13,4
2023-03-14,3
2023-03-15,1
2023-03-16,4
2023-03-17,4
2023-03-18,5
2023-03-19,9
2023-03-20,6
2023-03-21,7
2023-03-22,16
2023-03-23,1
2023-03-24,3
2023-03-25,6
2023-03-26,4
2023-03-27,1
2023-03-28,0
2023-03-29,9
2023-03-30,2
2023-03-31,8
2023-04-01,10
2023-04-02,0
2023-04-03,0
2023-04-04,1
2023-04-05,1
2023-04-06,0
2023-04-07,0
2023-04-08,8
2023-04-09,0
2023-04-10,0
2023-04-11,1
2023-04-12,0
2023-04-13,0
2023-04-14,0
2023-04-15,1
2023-04-16,3
2023-04-17,0
2023-04-18,0
2023-04-19,0
2023-04-20,0
2023-04-21,0
2023-04-22,2
2023-04-23,0
2023-04-24,0
2023-04-25,0
2023-04-26,0
2023-04-27,0
2023-04-28,0
2023-04-29,0
2023-04-30,1
2023-05-01,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,19
2020-02-24,10
2020-02-25,10
