"","easting","northing"
"1",565609,4987817
"2",523188,4992336
"3",521965,4993740
"4",522131,4993941
"5",522309,4994253
"6",546198,4974656
"7",550191,4967245
"8",521473,4996174
"9",567406,4962807
"10",522004,4994134
"11",521832,4993941
"12",559012,4973421
"13",521714,4993506
"14",551560,4974860
"15",547458,4980154
"16",521347,4990546
"17",566550,4989665
"18",521165,4990383
"19",521794,4993943
"20",563783,4966519
"21",546226,4966278
"22",512210,5008906
"23",548403,4975944
"24",510066,5002401
"25",544801,4983472
"26",547043,4978580
"27",541224,4980973
"28",556829,4978096
"29",555969,4978680
"30",555596,4967401
"31",556902,4946238
"32",560756,4943159
"33",541307,4978683
"34",518601,4986611
"35",566546,4970489
"36",559351,4954897
"37",566537,4970498
"38",540450,4979652
"39",564994,4969936
"40",519581,4985018
"41",554228,4976263
"42",539273,4978593
"43",538010,4979394
"44",541985,4982447
"45",525598,4984006
"46",560648,4938392
"47",542091,4982407
"48",549470,4975372
"49",515732,4985371
"50",556832,4977579
"51",518275,4989444
"52",516853,4987481
"53",562490,4972435
"54",563370,4937662
"55",540643,4980549
"56",562673,4971876
"57",546636,4974481
"58",534457,4979801
"59",563235,4937661
"60",550994,4969232
"61",529899,4983141
"62",539024,4980978
"63",524731,4983914
"64",563601,4937747
"65",560037,4943596
"66",558587,4969797
"67",561930,4938329
"68",568239,4971964
"69",561775,4938202
"70",568251,4971916
"71",515926,4985972
"72",522763,4985533
"73",561460,4973021
"74",543259,4978356
"75",561309,4973103
"76",553699,4937919
"77",532413,4983235
"78",542110,4982343
"79",555745,4946693
"80",536345,4978900
"81",542466,4979134
"82",525920,4979839
"83",558787,4955705
"84",527483,4985063
"85",562199,4980785
"86",518596,4986600
"87",556092,4972434
"88",519696,4984290
"89",518211,4984690
"90",518075,4984483
"91",541433,4981792
"92",545686,4977308
"93",542302,4982259
"94",518562,4986628
"95",546262,4969580
"96",545946,4969800
"97",565362,4969052
"98",565450,4969464
"99",568791,4971940
"100",542216,4979474
"101",537295,4983994
"102",545100,4964145
"103",532625,4986001
"104",530907,4986743
"105",544875,4980063
"106",551501,4974956
"107",533843,4978827
"108",550166,4974598
"109",553856,4977698
"110",542845,4972949
"111",543099,4973029
"112",517218,4980197
"113",543452,4975245
"114",568791,4971937
"115",556157,4974282
"116",545293,4979894
"117",545481,4979797
"118",542882,4980519
"119",535389,4972961
"120",521165,4937784
"121",552948,4975751
"122",524317,4937722
"123",546012,4979468
"124",539070,4948411
"125",545549,4978399
"126",519316,4976893
"127",522033,4952067
"128",550390,4971368
"129",556171,4973484
"130",519747,4975812
"131",519933,4975681
"132",516809,4970644
"133",546460,4978866
"134",519088,4973455
"135",542706,4980040
"136",543626,4980422
"137",519607,4976017
"138",530410,4983773
"139",542480,4980149
"140",541349,4944602
"141",533699,4982066
"142",513899,4934498
"143",542584,4980185
"144",537668,4974409
"145",534508,4981480
"146",541604,4980367
"147",511484,4923407
"148",542006,4980365
"149",542500,4980408
"150",527100,4985533
"151",511988,4932715
"152",539911,4981883
"153",518565,4986644
"154",512175,4932955
"155",512321,4933117
"156",518961,4986693
"157",540629,4980943
"158",541025,4982308
"159",517340,4989570
"160",561703,4971408
"161",511493,4923402
"162",517782,4986699
"163",532296,4979075
"164",556953,4975860
"165",538460,4938126
"166",539199,4940216
"167",533148,4979519
"168",542041,4944859
"169",533151,4979724
"170",542371,4980278
"171",529779,4983763
"172",536448,4979435
"173",564112,4970134
"174",569014,4973191
"175",568691,4973162
"176",544120,4976904
"177",540635,4980601
"178",541786,4974348
"179",541527,4979286
"180",558206,4978904
"181",533318,4981211
"182",533829,4981546
"183",517333,4990276
"184",515733,4986843
"185",535599,4976232
"186",541352,4984063
"187",523844,4982179
