"dod","kill_end_date","used_nohunt","used_hunt","hunt_end","dist2fwp","dist2bison","easting","northing"
2019-12-11,2019-12-12,TRUE,FALSE,2019-12-01,13623.5535755768,24208.0041534323,547043,4978580
2019-12-13,2019-12-14,TRUE,FALSE,2019-12-01,22571.8975402534,33733.5930080357,556829,4978096
2020-03-01,2020-03-04,TRUE,FALSE,2019-12-01,9305.74481276767,18821.144725404,541307,4978683
2020-03-17,2020-03-18,TRUE,FALSE,2019-12-01,28113.511174777,38234.6206289401,558587,4969797
2020-03-18,2020-03-19,TRUE,FALSE,2019-12-01,35475.8635438545,46408.6964459449,568239,4971964
2020-03-18,2020-03-19,TRUE,FALSE,2019-12-01,35506.3424386476,46435.0383155898,568251,4971916
2020-03-19,2020-03-20,TRUE,FALSE,2019-12-01,28906.0451996057,39652.0644314614,561460,4973021
2020-03-19,2020-03-20,TRUE,FALSE,2019-12-01,28734.2729901375,39482.3138013334,561309,4973103
2020-03-26,2020-03-28,TRUE,TRUE,2019-12-01,24561.9028842235,34871.5668312166,556092,4972434
2020-11-18,2020-11-19,TRUE,FALSE,2020-11-29,9303.58249096167,19362.1539571363,542216,4979474
2020-11-25,2020-11-28,TRUE,FALSE,2020-11-29,20012.6820009267,30971.4240726717,553856,4977698
2020-12-01,2020-12-03,TRUE,FALSE,2020-11-29,11439.8192595539,22138.1852878766,545293,4979894
2020-12-01,2020-12-02,TRUE,FALSE,2020-11-29,11650.4032246687,22346.3979761421,545481,4979797
2020-12-03,2020-12-05,TRUE,FALSE,2020-11-29,13130.4666023728,17380.5381148698,535389,4972961
2020-12-10,2020-12-11,TRUE,FALSE,2020-11-29,24061.073830176,34540.2431821922,556171,4973484
2021-03-11,2021-03-12,TRUE,TRUE,2020-11-29,23602.3572637106,34471.3157536304,556953,4975860
2021-03-25,2021-03-26,TRUE,TRUE,2020-11-29,14404.526010262,23283.8863969576,544141,4974437
2021-03-26,2021-03-27,TRUE,FALSE,2020-11-29,21367.1273746395,32407.4357824898,555352,4977707
2021-03-29,2021-03-30,TRUE,FALSE,2020-11-29,14770.2482929192,24647.6241868159,546515,4976057
2021-11-26,2021-11-26,TRUE,FALSE,2021-11-28,30793.0167513576,34255.5611538957,539580,4955549
2021-11-30,2021-12-01,TRUE,FALSE,2021-11-28,16132.5716183378,25975.7327516558,547586,4975209
2022-03-03,2022-03-03,TRUE,FALSE,2021-11-28,24742.4602311598,36227.9904383772,559799,4980009
2022-03-05,2022-03-06,TRUE,FALSE,2021-11-28,13573.9613382839,23796.3693481293,546225,4977548
2022-03-07,2022-03-08,TRUE,FALSE,2021-11-28,17373.9179173099,27207.3473654882,548606,4974486
2022-03-09,2022-03-11,TRUE,FALSE,2021-11-28,14330.4975876021,22892.3333005177,543454,4974056
2022-03-10,2022-03-10,TRUE,FALSE,2021-11-28,14154.6701778005,22653.2026826459,543202,4974104
2022-03-20,2022-03-21,TRUE,FALSE,2021-11-28,15290.5698673566,25026.0936329181,546642,4975435
2023-03-16,2023-03-19,TRUE,FALSE,2022-11-27,2241.6556591152,2241.6556591152,520144,4985369
2023-03-27,2023-03-28,TRUE,FALSE,2022-11-27,13284.2947665637,23633.9585951093,546238,4978033
2024-03-07,2024-03-16,TRUE,FALSE,2023-11-26,1806.19482877596,1806.19482877596,518545,4986650
2024-03-17,2024-03-21,TRUE,FALSE,2023-11-26,19081.0818371416,29427.1882064282,551357,4975218
2024-03-17,2024-03-18,TRUE,FALSE,2023-11-26,19081.4617443186,29383.0869740385,551241,4975052
2024-03-24,2024-03-28,TRUE,FALSE,2023-11-26,23167.9681383044,33338.6894147961,554454,4972520
