date,temp_max,temp_mean,temp_min
2019-10-01,32,30.4,28
2019-10-02,43,34.3,30
2019-10-03,54,40.8,30
2019-10-04,55,43.1,34
2019-10-05,46,39.6,34
2019-10-06,54,42,32
2019-10-07,61,49.4,36
2019-10-08,66,53.4,30
2019-10-09,30,22.1,14
2019-10-10,27,18.4,12
2019-10-11,36,25.5,14
2019-10-12,50,35.8,27
2019-10-13,57,43.7,32
2019-10-14,59,46.8,32
2019-10-15,50,39.7,28
2019-10-16,63,50.3,41
2019-10-17,68,52.9,45
2019-10-18,54,43.2,32
2019-10-19,50,40.3,32
2019-10-20,43,34,30
2019-10-21,43,35.5,28
2019-10-22,54,38.2,32
2019-10-23,37,33,28
2019-10-24,43,32.4,25
2019-10-25,57,43,32
2019-10-26,52,31.6,21
2019-10-27,23,15.4,9
2019-10-28,21,12.4,5
2019-10-29,10,5.6,0
2019-10-30,23,11.4,1
2019-11-01,34,27.2,19
2019-11-02,39,29.7,23
2019-11-03,45,36.6,30
2019-11-04,32,31.1,30
2019-11-05,45,34.6,28
2019-11-06,28,21.1,18
2019-11-07,36,28,19
2019-11-08,50,37.8,30
2019-11-09,52,45.1,34
2019-11-10,34,19.5,5
2019-11-11,18,10.6,1
2019-11-12,41,25.1,12
2019-11-13,45,36.8,32
2019-11-14,43,34.5,28
2019-11-15,48,38.6,32
2019-11-16,46,39.6,32
2019-11-17,46,37.1,28
2019-11-18,55,45.2,37
2019-11-19,50,40.6,34
2019-11-20,34,27.4,19
2019-11-21,32,23,18
2019-11-22,36,27.8,19
2019-11-23,43,32.7,25
2019-11-24,50,41.1,32
2019-11-25,32,27.1,19
2019-11-26,28,22.9,18
2019-11-27,28,18.9,14
2019-11-28,23,18.2,14
2019-11-29,19,16.9,14
2019-11-30,21,15.1,9
2019-12-01,23,15.9,10
2019-12-02,43,30.7,19
2019-12-03,45,37.4,30
2019-12-04,37,31,25
2019-12-05,37,30.2,25
2019-12-06,41,29.9,23
2019-12-07,50,38.3,28
2019-12-08,41,27,10
2019-12-09,27,18.6,9
2019-12-10,30,23.3,18
2019-12-11,37,27.4,21
2019-12-12,41,30.5,23
2019-12-13,39,31,25
2019-12-14,32,26.7,19
2019-12-15,28,19.9,14
2019-12-16,30,20.1,10
2019-12-17,28,21.8,16
2019-12-18,34,26.3,21
2019-12-19,41,33.3,23
2019-12-20,34,29.6,25
2019-12-21,41,34.3,28
2019-12-22,43,34.6,30
2019-12-23,43,35.6,32
2019-12-24,41,34.1,30
2019-12-25,37,28.8,23
2019-12-26,32,25,19
2019-12-27,28,21.1,16
2019-12-28,28,22.5,18
2019-12-29,28,18.5,10
2019-12-30,25,16.5,10
2019-12-31,32,22.1,12
2020-10-01,64,50.2,36
2020-10-02,72,56.3,43
2020-10-03,68,55.4,41
2020-10-04,75,59,46
2020-10-05,72,60.4,46
2020-10-06,79,63.7,50
2020-10-07,75,62.6,50
2020-10-08,77,62.7,54
2020-10-09,73,62.1,50
2020-10-10,73,60.3,46
2020-10-11,55,46,36
2020-10-12,61,50.5,43
2020-10-13,61,47.6,34
2020-10-14,54,42.4,30
2020-10-15,45,36.2,30
2020-10-16,59,42.9,28
2020-10-17,46,30.5,21
2020-10-18,32,25.3,19
2020-10-19,43,35.8,28
2020-10-20,43,38.9,34
2020-10-21,32,31.5,30
2020-10-22,30,19.2,9
2020-10-23,28,19,7
2020-10-24,23,14.9,9
2020-10-25,10,5.5,1
2020-10-26,19,8,0
2020-10-27,28,20.1,10
2020-10-28,37,32,28
2020-10-29,50,44.7,41
2020-10-30,57,45,34
2020-10-31,48,40.4,32
2020-11-01,55,42.4,32
2020-11-02,61,48.4,37
2020-11-03,64,52.6,43
2020-11-04,68,56.1,45
2020-11-05,64,52.1,43
2020-11-06,59,45.9,34
2020-11-07,63,46.8,32
2020-11-09,28,18.1,7
2020-11-10,32,25,14
2020-11-11,28,22.7,18
2020-11-12,32,23.5,14
2020-11-13,41,31.6,21
2020-11-14,37,29.6,21
2020-11-15,43,34.5,21
2020-11-16,43,37,32
2020-11-17,52,41.7,36
2020-11-18,59,47.2,41
2020-11-19,46,37,28
2020-11-20,41,32.8,23
2020-11-21,37,29,21
2020-11-22,37,27.8,18
2020-11-23,36,29.1,25
2020-11-24,39,29.4,21
2020-11-25,46,31.1,25
2020-11-26,37,29.1,23
2020-11-27,37,28,21
2020-11-28,43,31.6,27
2020-11-29,36,28.3,19
2020-11-30,39,31.8,21
2020-12-01,34,27.5,14
2020-12-02,30,22.8,16
2020-12-03,34,26.1,18
2020-12-04,46,33.6,27
2020-12-05,41,33.3,25
2020-12-06,43,33.9,28
