License Year, Hunting District,Deer Species,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bucks,Does,Fawns,Bow,Rifle,Less than 4 Points, 4 or More Points
2019,313,all_deer,N,209,1239,6,68,60,8,0,0,68,15,45
2019,313,all_deer,R,630,4184,7,218,165,52,0,7,211,81,84
2019,313,all_deer,SUM,839,5423,7,285,225,60,0,7,279,96,129
2019,313,md,N,209,1239,6,59,51,8,0,0,59,15,36
2019,313,md,R,630,4184,7,175,142,33,0,7,168,71,71
2019,313,md,SUM,839,5423,7,234,193,41,0,7,227,86,107
2019,313,wt,N,209,1239,6,9,9,0,0,0,9,0,9
2019,313,wt,R,630,4184,7,43,23,20,0,0,43,10,13
2019,313,wt,SUM,839,5423,7,52,32,20,0,0,52,10,22
2020,313,all_deer,N,0,0,0,27,23,3,0,3,24,6,18
2020,313,all_deer,R,0,0,0,187,129,58,0,2,185,54,75
2020,313,all_deer,SUM,0,0,0,213,152,61,0,5,208,60,92
2020,313,md,N,0,0,0,23,23,0,0,3,20,6,18
2020,313,md,R,0,0,0,150,112,38,0,2,148,51,61
2020,313,md,SUM,0,0,0,174,135,38,0,5,169,57,79
2020,313,wt,N,0,0,0,3,0,3,0,0,3,0,0
2020,313,wt,R,0,0,0,36,17,19,0,0,36,3,14
2020,313,wt,SUM,0,0,0,40,17,23,0,0,40,3,14
2021,313,all_deer,N,194,1269,7,55,48,8,0,0,55,14,34
2021,313,all_deer,R,539,3325,6,136,100,36,0,0,132,36,64
2021,313,all_deer,SUM,733,4594,6,191,148,43,0,0,187,50,98
2021,313,md,N,194,1269,7,55,48,8,0,0,55,14,34
2021,313,md,R,539,3325,6,109,92,17,0,0,105,36,56
2021,313,md,SUM,733,4594,6,164,140,25,0,0,160,50,90
2021,313,wt,N,194,1269,7,0,0,0,0,0,0,0,0
2021,313,wt,R,539,3325,6,27,8,19,0,0,27,0,8
2021,313,wt,SUM,733,4594,6,27,8,19,0,0,27,0,8
2022,313,all_deer,N,0,0,0,79,73,6,0,0,79,18,54
2022,313,all_deer,R,0,0,0,147,103,44,0,3,144,33,70
2022,313,all_deer,SUM,0,0,0,226,176,50,0,3,223,52,124
2022,313,md,N,0,0,0,71,64,6,0,0,71,18,46
2022,313,md,R,0,0,0,118,86,32,0,0,118,33,53
2022,313,md,SUM,0,0,0,189,151,38,0,0,189,52,99
2022,313,wt,N,0,0,0,9,9,0,0,0,9,0,9
2022,313,wt,R,0,0,0,29,17,12,0,3,26,0,17
2022,313,wt,SUM,0,0,0,37,25,12,0,3,34,0,25
2023,313,all_deer,N,185,1061,6,51,48,3,0,0,51,21,27
2023,313,all_deer,R,448,3715,8,141,112,29,0,0,141,48,64
2023,313,all_deer,SUM,633,4776,8,192,160,32,0,0,192,69,91
2023,313,md,N,185,1061,6,45,45,0,0,0,45,21,24
2023,313,md,R,448,3715,8,112,102,9,0,0,112,48,54
2023,313,md,SUM,633,4776,8,156,147,9,0,0,156,69,78
2023,313,wt,N,185,1061,6,6,3,3,0,0,6,0,3
2023,313,wt,R,448,3715,8,29,10,19,0,0,29,0,10
2023,313,wt,SUM,633,4776,8,35,13,22,0,0,35,0,13
2024,313,all_deer,N,0,0,0,89,89,0,0,3,87,29,60
2024,313,all_deer,R,0,0,0,168,151,17,0,3,165,73,77
2024,313,all_deer,SUM,0,0,0,257,240,17,0,6,251,102,138
2024,313,md,N,0,0,0,87,87,0,0,3,84,29,58
2024,313,md,R,0,0,0,147,138,9,0,3,144,70,68
2024,313,md,SUM,0,0,0,233,225,9,0,6,228,99,126
2024,313,wt,N,0,0,0,3,3,0,0,0,3,0,3
2024,313,wt,R,0,0,0,21,12,9,0,0,21,3,9
2024,313,wt,SUM,0,0,0,24,15,9,0,0,24,3,12
