Territory,easting,northing
Obsidian Cliff,521373,4962400
Blacktail Drive (B),537384,4977321
Hayden Bathroom,542535,4944264
Blacktail Grass,532549,4978498
Madison,510556,4942804
Midway Geyser Basin,513727,4929748
Lookout Point,540352,4951707
Nez Perce,546303,4940799
Cottonwood Pullout,540098,4978440
South Rim Entrance,539341,4950745
Biscuit Basin,511943,4926087
Hayden Overlook,542005,4946347
Otter Creek,539344,4949618
Lamar Canyon,555605,4973996
Nick's Soda Butte,567282,4967987
Gibbon Falls,518245,4944610
Old Faithful Snotel,513564,4922567
West Yellowstone Entrance,492869,4944817
Otter Creek,539342,4949611
Mary Bay,556178,4932731
Slough-Lamar Confluence,551695,4973867
Slough Creek,553372,4977105
45th Parallel,524255,4983666
Inspiration Point,542052,4952549
